,fighter_r,fighter_b,winner,total_wins_r,total_losses_r,total_draws_r,total_nc_r,height_r,weight_r,reach_r,stance_r,dob_r,slpm_r,str_acc_r,sapm_r,str_def_r,td_avg_r,td_acc_r,td_def_r,sub_avg_r,total_wins_b,total_losses_b,total_draws_b,total_nc_b,height_b,weight_b,reach_b,stance_b,dob_b,slpm_b,str_acc_b,sapm_b,str_def_b,td_avg_b,td_acc_b,td_def_b,sub_avg_b
2665,Carlos Condit,Thiago Alves,Carlos Condit,32,13,0,0,"6'2""",170,"75""",Orthodox,4/26/1984,3.63,39%,2.49,56%,0.62,54%,39%,1.0,23,15,0,0,"5'9""",170,"70""",Orthodox,10/03/1983,3.73,41%,3.42,62%,0.71,60%,63%,0.3
2666,Nik Lentz,Charles Oliveira,Charles Oliveira,30,12,2,1,"5'8""",145,"68""",Orthodox,8/13/1984,3.44,47%,3.25,50%,3.3,32%,43%,1.2,30,8,0,1,"5'10""",155,"74""",Orthodox,10/17/1989,3.22,52%,2.94,54%,2.64,44%,57%,2.8
2667,KJ Noons,Alex Oliveira,Alex Oliveira,13,9,0,1,"5'10""",155,"70""",Orthodox,12/07/1982,3.68,35%,3.78,65%,0.08,20%,68%,0.0,22,9,1,2,"5'11""",170,"76""",Orthodox,2/21/1988,2.87,50%,2.18,48%,2.41,37%,63%,0.6
2668,Francimar Barroso,Ryan Jimmo,Francimar Barroso,19,7,0,1,"6'1""",205,"75""",Orthodox,2/28/1980,2.77,52%,3.07,59%,2.22,24%,83%,0.0,19,5,0,0,"6'1""",205,"73""",Orthodox,11/27/1981,3.12,66%,2.77,46%,0.45,28%,87%,0.0
2669,Francisco Trinaldo,Norman Parke,Francisco Trinaldo,26,7,0,0,"5'9""",155,"70""",Southpaw,8/24/1978,3.11,44%,2.56,60%,1.09,46%,61%,0.6,23,6,1,0,"5'11""",155,"70""",Southpaw,12/22/1986,3.06,35%,2.88,64%,1.98,26%,77%,0.0
2670,Rony Jason,Damon Jackson,,14,7,0,1,"5'7""",145,"73""",Orthodox,3/21/1984,2.04,44%,3.14,53%,0.59,30%,36%,0.8,18,4,1,1,"5'11""",145,"71""",Switch,8/08/1988,2.46,35%,3.63,45%,1.14,20%,35%,2.7
2671,Jussier Formiga,Wilson Reis,Jussier Formiga,23,8,0,0,"5'5""",125,"67""",Orthodox,4/14/1985,1.42,39%,2.34,64%,1.82,35%,87%,0.6,23,10,0,0,"5'4""",125,"65""",Southpaw,1/06/1985,1.83,29%,3.04,55%,5.15,42%,47%,0.6
2672,Elizeu Zaleski dos Santos,Nicolas Dalby,Nicolas Dalby,22,7,0,0,"5'11""",170,"73""",Orthodox,12/11/1986,4.05,39%,3.07,59%,0.57,17%,52%,0.5,19,3,1,2,"5'11""",170,"74""",Orthodox,11/16/1984,3.2,37%,3.57,55%,1.45,33%,63%,0.0
2673,Lucas Martins,Mirsad Bektic,Mirsad Bektic,19,3,0,0,"6'0""",145,"72""",Southpaw,11/11/1988,2.87,35%,4.14,60%,0.0,0%,76%,0.5,13,4,0,0,"5'8""",145,"70""",Orthodox,2/16/1991,2.43,41%,1.8,57%,3.98,52%,92%,0.4
2674,Anthony Johnson,Daniel Cormier,Daniel Cormier,22,6,0,0,"6'2""",205,"78""",Orthodox,3/06/1984,3.25,47%,1.83,60%,2.43,57%,77%,0.6,22,3,0,1,"5'11""",235,"72""",Orthodox,3/20/1979,4.25,52%,2.92,54%,1.83,44%,80%,0.4
2675,Chris Weidman,Vitor Belfort,Chris Weidman,15,5,0,0,"6'2""",185,"78""",Orthodox,6/17/1984,3.03,43%,3.15,52%,3.93,47%,65%,0.9,26,14,0,1,"6'0""",185,"74""",Southpaw,4/01/1977,1.59,46%,2.83,50%,1.02,60%,53%,0.6
2676,Donald Cerrone,John Makdessi,Donald Cerrone,36,15,0,2,"6'1""",155,"73""",Orthodox,3/29/1983,4.43,46%,4.46,53%,1.19,33%,73%,1.2,17,7,0,0,"5'8""",155,"68""",Orthodox,5/03/1985,5.36,51%,3.76,70%,0.0,0%,88%,0.0
2677,Travis Browne,Andrei Arlovski,Andrei Arlovski,18,7,1,0,"6'6""",255,"79""",Orthodox,7/17/1982,2.93,41%,4.31,42%,1.21,68%,75%,0.2,30,20,0,2,"6'3""",240,"77""",Orthodox,2/04/1979,3.48,44%,2.83,57%,0.47,36%,78%,0.3
2678,Joseph Benavidez,John Moraga,Joseph Benavidez,28,8,0,0,"5'4""",125,"65""",Southpaw,7/31/1984,3.52,34%,2.67,61%,1.41,30%,62%,0.6,19,7,0,0,"5'6""",125,"66""",Orthodox,3/20/1984,2.57,43%,2.55,56%,0.62,23%,44%,1.1
2679,John Dodson,Zach Makovsky,John Dodson,22,12,0,0,"5'3""",135,"66""",Orthodox,9/26/1984,3.2,40%,3.58,61%,0.71,28%,82%,0.0,20,8,0,0,"5'4""",125,"64""",Southpaw,4/19/1983,1.94,43%,2.24,62%,3.71,30%,56%,0.3
2680,Dong Hyun Kim,Joshua Burkman,Dong Hyun Kim,22,4,1,1,"6'2""",170,"76""",Southpaw,11/17/1981,2.12,49%,1.89,58%,2.93,43%,71%,0.6,28,16,0,1,"5'10""",170,"72""",Orthodox,4/10/1980,2.69,43%,3.13,51%,2.53,36%,72%,0.3
2681,Uriah Hall,Rafael Natal,Rafael Natal,17,9,0,0,"6'0""",185,"79""",Orthodox,7/31/1984,3.34,51%,3.54,53%,0.67,38%,69%,0.2,21,9,1,0,"6'0""",185,"77""",Orthodox,12/25/1982,3.1,47%,2.48,57%,2.55,34%,77%,0.5
2682,Mike Pyle,Colby Covington,Colby Covington,27,14,1,0,"6'0""",170,"74""",Orthodox,9/18/1975,2.74,45%,2.84,60%,1.8,35%,70%,1.5,16,2,0,0,"5'11""",170,"72""",Orthodox,2/22/1988,4.12,38%,2.86,55%,4.61,50%,75%,0.1
2683,Justin Scoggins,Josh Sampo,Justin Scoggins,11,5,0,0,"5'7""",125,"66""",Southpaw,5/02/1992,3.56,51%,2.16,55%,3.42,63%,82%,0.5,11,5,0,0,"5'4""",125,"64""",Orthodox,7/24/1984,1.99,36%,2.96,55%,1.06,33%,40%,2.1
2684,Frankie Edgar,Urijah Faber,Frankie Edgar,23,9,1,0,"5'6""",135,"68""",Orthodox,10/16/1981,3.7,39%,2.71,66%,2.28,31%,65%,0.3,35,11,0,0,"5'6""",135,"67""",Orthodox,5/14/1979,2.65,40%,2.59,64%,1.54,30%,58%,0.8
2685,Gegard Mousasi,Constantinos Philippou,Gegard Mousasi,42,6,2,0,"6'2""",185,"76""",Orthodox,8/01/1985,3.75,50%,1.21,68%,1.59,60%,59%,1.1,13,5,0,1,"5'11""",185,"73""",Orthodox,11/29/1979,2.19,35%,2.73,54%,0.4,42%,65%,0.3
2686,Mark Munoz,Luke Barnatt,Mark Munoz,14,6,0,0,"6'0""",185,"71""",Orthodox,2/09/1978,3.12,51%,2.26,57%,3.17,29%,57%,0.6,13,4,0,0,"6'6""",185,"77""",Orthodox,4/13/1988,4.43,36%,3.87,59%,0.63,42%,63%,0.4
2687,Hyun Gyu Lim,Neil Magny,Neil Magny,13,7,1,0,"6'3""",170,"77""",Orthodox,1/16/1985,4.45,41%,5.07,51%,0.23,100%,73%,0.2,24,9,0,0,"6'3""",170,"80""",Orthodox,8/03/1987,3.67,47%,2.05,56%,2.46,45%,57%,0.3
