,fighter_r,fighter_b,winner,total_wins_r,total_losses_r,total_draws_r,total_nc_r,height_r,weight_r,reach_r,stance_r,dob_r,slpm_r,str_acc_r,sapm_r,str_def_r,td_avg_r,td_acc_r,td_def_r,sub_avg_r,total_wins_b,total_losses_b,total_draws_b,total_nc_b,height_b,weight_b,reach_b,stance_b,dob_b,slpm_b,str_acc_b,sapm_b,str_def_b,td_avg_b,td_acc_b,td_def_b,sub_avg_b
486,Gerald Meerschaert,Deron Winn,Gerald Meerschaert,31,14,0,0,"6'1""",185,"77""",Southpaw,12/18/1987,3.3,42%,3.61,51%,2.33,43%,46%,1.7,7,2,0,0,"5'6""",185,"70""",Orthodox,6/13/1989,4.74,47%,5.17,50%,4.98,52%,0%,0.0
487,Giga Chikadze,Jamall Emmers,Giga Chikadze,12,2,0,0,"6'0""",145,"74""",Orthodox,8/25/1988,3.45,43%,2.65,60%,0.38,33%,68%,0.0,18,5,0,0,"5'10""",145,"74""",Orthodox,7/24/1989,5.75,52%,4.65,54%,2.9,53%,100%,0.0
488,Batgerel Danaa,Guido Cannetti,Batgerel Danaa,7,2,0,0,"5'7""",135,"70""",Orthodox,7/04/1989,5.66,38%,2.61,58%,0.0,0%,57%,0.0,8,6,0,0,"5'6""",135,"68""",Southpaw,12/19/1979,2.85,51%,2.17,50%,2.64,50%,75%,0.3
489,Joseph Benavidez,Deiveson Figueiredo,Deiveson Figueiredo,28,8,0,0,"5'4""",125,"65""",Southpaw,7/31/1984,3.52,34%,2.67,61%,1.41,30%,62%,0.6,20,1,1,0,"5'5""",125,"68""",Orthodox,12/18/1987,3.38,56%,3.35,50%,1.57,50%,61%,2.4
490,Felicia Spencer,Zarah Fairn,Felicia Spencer,8,2,0,0,"5'6""",145,"68""",Orthodox,11/29/1990,3.02,45%,5.57,43%,0.64,10%,14%,0.3,6,4,0,0,"5'8""",145,"72""",Orthodox,12/12/1986,1.98,45%,6.61,39%,0.0,0%,50%,0.0
491,Ion Cutelaba,Magomed Ankalaev,Magomed Ankalaev,15,6,0,1,"6'1""",205,"75""",Southpaw,12/14/1993,5.1,39%,3.37,48%,2.41,71%,80%,0.0,15,1,0,0,"6'3""",205,"75""",Orthodox,6/02/1992,3.41,53%,1.78,65%,1.18,33%,85%,0.0
492,Megan Anderson,Norma Dumont,Megan Anderson,11,5,0,0,"6'0""",145,"72""",Orthodox,2/11/1990,1.76,46%,3.35,37%,0.52,25%,53%,0.5,5,1,0,0,"5'7""",135,"67""",Orthodox,10/01/1990,5.35,55%,2.65,72%,2.43,42%,100%,0.0
493,Grant Dawson,Darrick Minner,Grant Dawson,16,1,0,0,"5'10""",145,"72""",Switch,2/20/1994,3.5,47%,2.13,50%,4.17,45%,33%,2.1,26,11,0,0,"5'7""",145,"69""",Orthodox,4/28/1990,3.24,70%,1.4,43%,3.0,62%,60%,3.6
494,Gabriel Silva,Kyler Phillips,Kyler Phillips,8,2,0,0,"5'6""",135,"71""",Orthodox,8/26/1994,1.3,34%,3.47,45%,1.5,25%,38%,0.5,9,1,0,0,"5'8""",135,"72""",Orthodox,6/12/1995,5.32,46%,3.04,61%,2.88,63%,71%,0.4
495,Brendan Allen,Tom Breese,Brendan Allen,15,4,0,0,"6'2""",185,"75""",Orthodox,12/28/1995,3.55,59%,4.57,39%,1.17,37%,50%,2.0,12,3,0,0,"6'3""",185,"73""",Southpaw,9/26/1991,3.34,50%,2.81,60%,0.0,0%,70%,1.1
496,Marcin Tybura,Serghei Spivac,Marcin Tybura,21,6,0,0,"6'3""",249,"78""",Orthodox,11/09/1985,3.7,50%,3.25,56%,1.62,45%,82%,0.1,12,2,0,0,"6'3""",260,"78""",Orthodox,1/24/1995,3.58,49%,2.84,58%,3.7,63%,75%,0.3
497,Luis Pena,Steve Garcia,Luis Pena,8,3,0,0,"6'3""",155,"75""",Southpaw,7/05/1993,3.26,47%,2.74,50%,1.37,33%,45%,1.4,11,4,0,0,"6'0""",155,"75""",Southpaw,5/22/1992,4.31,55%,2.52,36%,0.61,25%,100%,0.6
498,Jordan Griffin,TJ Brown,Jordan Griffin,18,8,0,0,"5'10""",145,"73""",Southpaw,2/28/1990,2.6,46%,3.18,48%,0.78,23%,42%,1.8,14,8,0,0,"5'9""",145,"72""",Switch,5/22/1990,3.22,42%,2.21,50%,4.92,60%,40%,0.4
499,Aalon Cruz,Spike Carlyle,Spike Carlyle,8,4,0,0,"6'0""",145,"78""",Switch,9/20/1989,7.58,39%,8.88,58%,0.0,0%,0%,0.0,9,3,0,0,"5'8""",145,"71""",Switch,5/06/1993,2.55,54%,3.85,30%,3.34,36%,57%,0.5
500,Sean Brady,Ismail Naurdiev,Sean Brady,14,0,0,0,"5'10""",170,"72""",Orthodox,11/23/1992,4.72,55%,3.6,63%,2.69,60%,100%,1.2,19,4,0,0,"5'10""",170,"74""",Orthodox,8/18/1996,3.17,52%,1.3,68%,1.25,71%,70%,0.2
501,Paul Felder,Dan Hooker,Dan Hooker,17,6,0,0,"5'11""",155,"70""",Orthodox,4/25/1984,3.7,44%,3.44,48%,0.29,28%,64%,0.2,20,10,0,0,"6'0""",155,"75""",Switch,2/13/1990,4.95,48%,4.92,51%,0.72,34%,79%,0.3
502,Jimmy Crute,Michal Oleksiejczuk,Jimmy Crute,12,1,0,0,"6'2""",205,"74""",Orthodox,3/04/1996,4.36,57%,2.31,54%,4.33,75%,60%,2.4,14,4,0,1,"6'0""",205,"74""",Southpaw,2/22/1995,4.83,56%,2.91,69%,1.05,66%,35%,0.0
503,Karolina Kowalkiewicz,Yan Xiaonan,Yan Xiaonan,12,6,0,0,"5'3""",115,"64""",Orthodox,10/15/1985,5.27,39%,5.65,56%,0.1,12%,75%,0.1,13,1,0,1,"5'5""",115,"63""",Orthodox,6/16/1989,6.42,42%,3.63,63%,1.0,75%,75%,0.0
504,Ben Sosoli,Marcos Rogerio de Lima,Marcos Rogerio de Lima,7,3,0,2,"6'0""",265,"72""",Southpaw,12/10/1989,2.31,31%,4.3,47%,0.0,0%,0%,0.0,17,8,1,0,"6'1""",253,"75""",Orthodox,6/25/1985,3.78,54%,2.53,54%,0.71,60%,43%,0.7
505,Brad Riddell,Magomed Mustafaev,Brad Riddell,9,1,0,0,"5'7""",155,"71""",Orthodox,9/30/1991,4.36,50%,2.62,53%,1.0,37%,60%,0.0,14,4,0,0,"5'8""",155,"71""",Orthodox,8/02/1988,2.59,58%,2.68,41%,3.31,50%,23%,0.4
506,Kevin Aguilar,Zubaira Tukhugov,Zubaira Tukhugov,17,4,0,0,"5'7""",155,"73""",Orthodox,9/07/1988,3.69,37%,4.47,53%,0.19,25%,87%,0.0,19,5,1,0,"5'8""",145,"68""",Orthodox,1/15/1991,2.54,38%,2.53,63%,2.54,46%,100%,0.0
507,Jalin Turner,Josh Culibao,Jalin Turner,10,5,0,0,"6'3""",155,"77""",Southpaw,5/18/1995,6.2,47%,4.37,45%,0.71,66%,78%,1.8,8,1,1,0,"5'10""",155,"73""",Orthodox,5/24/1994,2.52,38%,4.3,48%,0.0,0%,100%,0.0
508,Jake Matthews,Emil Meek,Jake Matthews,17,5,0,0,"5'11""",170,"73""",Orthodox,8/19/1994,3.03,44%,2.16,61%,1.93,41%,66%,0.6,9,5,1,1,"5'11""",170,"74""",Switch,8/20/1988,2.52,39%,2.53,38%,0.25,33%,47%,1.0
509,Callan Potter,Song Kenan,Song Kenan,18,9,0,0,"6'0""",170,"72""",Orthodox,6/09/1984,3.18,50%,4.72,58%,3.29,66%,100%,0.0,16,5,0,0,"6'0""",170,"71""",Orthodox,3/10/1990,4.3,45%,4.2,56%,0.0,0%,45%,0.0
510,Kai Kara-France,Tyson Nam,Kai Kara-France,22,9,0,1,"5'4""",125,"69""",Orthodox,3/26/1993,5.02,39%,3.84,66%,0.53,23%,86%,0.0,20,12,1,0,"5'7""",125,"68""",Orthodox,10/06/1983,3.64,31%,5.69,64%,0.0,0%,100%,0.0
511,Loma Lookboonmee,Angela Hill,Angela Hill,5,2,0,0,"5'1""",115,"61""",Orthodox,1/18/1996,5.16,55%,3.09,59%,0.67,25%,72%,0.0,13,9,0,0,"5'3""",115,"64""",Orthodox,1/12/1985,5.66,50%,4.98,64%,0.45,36%,76%,0.1
512,Priscila Cachoeira,Shana Dobson,Priscila Cachoeira,9,3,0,0,"5'7""",135,"65""",Orthodox,8/19/1988,3.84,37%,7.93,42%,0.0,0%,69%,0.0,4,5,0,0,"5'6""",125,"69""",Orthodox,3/30/1989,3.34,37%,5.2,50%,0.84,50%,14%,0.0
513,Corey Anderson,Jan Blachowicz,Jan Blachowicz,14,5,0,0,"6'3""",205,"79""",Orthodox,9/22/1989,4.43,46%,2.22,59%,4.89,50%,83%,0.0,28,8,0,0,"6'2""",205,"78""",Orthodox,2/24/1983,3.59,49%,2.79,53%,1.18,53%,65%,0.2
514,Diego Sanchez,Michel Pereira,Diego Sanchez,31,13,0,0,"5'10""",170,"72""",Southpaw,12/31/1981,2.69,37%,3.02,56%,1.51,24%,46%,0.8,25,11,0,2,"6'1""",170,"73""",Orthodox,10/06/1993,3.74,54%,2.84,58%,1.76,70%,100%,0.5
515,Montana De La Rosa,Mara Romero Borella,Montana De La Rosa,11,6,1,0,"5'7""",125,"68""",Orthodox,2/14/1995,2.85,36%,3.39,45%,2.14,28%,57%,1.2,12,9,0,2,"5'6""",125,"69""",Orthodox,6/03/1986,2.54,37%,2.48,71%,1.83,44%,66%,0.2
516,Brok Weaver,Kazula Vargas,Brok Weaver,15,6,0,0,"6'0""",155,"73""",Southpaw,12/05/1991,4.78,64%,4.35,46%,0.41,10%,66%,0.4,10,4,0,0,"5'8""",155,"71""",Southpaw,8/15/1985,1.84,49%,1.16,54%,0.79,33%,25%,0.0
517,Rogerio Bontorin,Ray Borg,Ray Borg,16,3,0,1,"5'5""",125,"67""",Orthodox,4/25/1992,2.19,50%,3.12,38%,1.9,40%,51%,1.6,13,5,0,0,"5'4""",135,"63""",Orthodox,8/04/1993,1.52,52%,1.93,48%,3.89,50%,46%,1.0
518,Lando Vannata,Yancy Medeiros,Lando Vannata,11,5,2,0,"5'9""",155,"71""",Orthodox,3/14/1992,4.58,44%,5.1,54%,1.13,37%,58%,0.4,15,7,0,1,"5'10""",155,"75""",Orthodox,9/07/1987,4.05,35%,5.38,46%,0.12,25%,76%,0.5
519,Tim Means,Daniel Rodriguez,Daniel Rodriguez,31,12,1,1,"6'2""",170,"75""",Orthodox,2/20/1984,5.16,48%,3.58,61%,0.92,41%,64%,0.2,13,2,0,0,"6'1""",170,"74""",Southpaw,12/31/1986,7.68,46%,6.12,57%,1.34,62%,90%,0.3
520,John Dodson,Nathaniel Wood,John Dodson,22,12,0,0,"5'3""",135,"66""",Orthodox,9/26/1984,3.2,40%,3.58,61%,0.71,28%,82%,0.0,17,5,0,0,"5'6""",140,"69""",Orthodox,5/08/1993,6.28,46%,4.36,53%,1.29,46%,75%,0.9
521,Jim Miller,Scott Holtzman,Scott Holtzman,32,15,0,1,"5'8""",155,"71""",Southpaw,8/30/1983,2.73,40%,2.99,59%,1.69,43%,46%,1.9,14,4,0,0,"5'9""",155,"69""",Orthodox,9/30/1983,4.44,49%,3.47,54%,2.16,58%,66%,0.2
522,Devin Clark,Dequan Townsend,Devin Clark,12,5,0,0,"6'0""",205,"75""",Orthodox,4/12/1990,3.33,57%,2.43,48%,2.7,36%,76%,0.1,21,12,0,0,"6'3""",205,"79""",Orthodox,5/11/1986,1.23,34%,3.92,38%,0.0,0%,46%,0.0
523,Casey Kenney,Merab Dvalishvili,Merab Dvalishvili,16,3,1,0,"5'7""",140,"68""",Southpaw,3/20/1991,4.81,42%,4.3,59%,1.1,39%,59%,0.5,12,4,0,0,"5'6""",135,"68""",Orthodox,1/10/1991,3.91,39%,2.08,61%,7.71,43%,80%,0.3
524,Macy Chiasson,Shanna Young,Macy Chiasson,7,1,0,0,"5'11""",135,"72""",Orthodox,7/27/1991,4.4,53%,2.22,44%,0.97,16%,70%,0.7,7,3,0,0,"5'7""",135,"65""",Orthodox,2/20/1991,3.05,57%,5.28,45%,0.0,0%,54%,0.0
525,Mark De La Rosa,Raulian Paiva,Raulian Paiva,11,5,0,0,"5'6""",135,"65""",Orthodox,8/31/1994,3.13,35%,5.0,48%,0.54,13%,40%,0.2,20,3,0,0,"5'8""",125,"69""",Orthodox,10/17/1995,4.46,43%,4.89,51%,0.26,20%,80%,0.3
526,Jon Jones,Dominick Reyes,Jon Jones,26,1,0,1,"6'4""",205,"84""",Orthodox,7/19/1987,4.3,57%,2.22,64%,1.85,44%,95%,0.4,12,2,0,0,"6'4""",205,"77""",Southpaw,12/26/1989,4.53,48%,3.16,49%,0.2,16%,82%,0.2
527,Valentina Shevchenko,Katlyn Chookagian,Valentina Shevchenko,19,3,0,0,"5'5""",125,"66""",Southpaw,3/07/1988,2.98,50%,2.03,62%,2.21,58%,75%,0.3,15,4,0,0,"5'9""",125,"68""",Orthodox,12/28/1988,4.22,34%,4.23,63%,0.27,15%,51%,0.5
528,Juan Adams,Justin Tafa,Justin Tafa,5,3,0,0,"6'5""",265,"80""",Orthodox,1/16/1992,7.09,55%,4.06,34%,0.91,66%,57%,0.0,4,2,0,0,"6'0""",264,"74""",Southpaw,12/13/1993,5.33,59%,4.6,46%,0.0,0%,100%,0.0
529,Mirsad Bektic,Dan Ige,Dan Ige,13,4,0,0,"5'8""",145,"70""",Orthodox,2/16/1991,2.43,41%,1.8,57%,3.98,52%,92%,0.4,15,3,0,0,"5'7""",145,"71""",Orthodox,8/06/1991,3.95,46%,3.36,58%,1.68,27%,59%,0.5
530,Derrick Lewis,Ilir Latifi,Derrick Lewis,25,7,0,1,"6'3""",260,"79""",Orthodox,2/07/1985,2.59,50%,2.16,44%,0.52,26%,54%,0.0,15,8,0,1,"5'10""",205,"73""",Orthodox,7/28/1983,2.01,40%,2.84,56%,2.02,32%,100%,0.4
531,Trevin Giles,James Krause,Trevin Giles,13,2,0,0,"6'0""",185,"74""",Orthodox,8/06/1992,3.57,57%,1.83,64%,1.45,87%,80%,0.2,28,9,0,0,"6'2""",170,"73""",Orthodox,6/04/1986,4.79,49%,4.11,61%,0.96,18%,59%,0.9
532,Lauren Murphy,Andrea Lee,Lauren Murphy,14,4,0,0,"5'5""",125,"67""",Orthodox,7/27/1983,3.8,38%,3.82,63%,1.18,37%,70%,0.1,11,5,0,0,"5'6""",125,"69""",Orthodox,2/11/1989,5.58,49%,3.83,65%,1.67,45%,57%,0.5
533,Alex Morono,Khaos Williams,Khaos Williams,18,7,0,1,"5'11""",170,"72""",Orthodox,8/16/1990,4.96,42%,3.69,56%,0.44,28%,47%,0.4,11,2,0,0,"6'0""",170,"77""",Orthodox,3/30/1994,4.39,45%,2.95,44%,0.0,0%,0%,0.0
534,Miles Johns,Mario Bautista,Mario Bautista,11,1,0,0,"5'7""",135,"66""",Orthodox,3/30/1994,3.33,48%,2.42,68%,1.21,30%,87%,0.0,8,2,0,0,"5'9""",135,"69""",Switch,7/01/1993,5.71,45%,4.78,54%,0.48,33%,70%,0.0
535,Domingo Pilarte,Journey Newson,,8,2,0,1,"6'0""",135,"73""",Southpaw,1/05/1990,2.04,50%,3.69,42%,2.0,42%,75%,1.3,9,3,0,1,"5'5""",135,"67""",Orthodox,3/07/1989,2.76,32%,2.76,65%,0.0,0%,0%,0.9
536,Andre Ewell,Jonathan Martinez,Andre Ewell,17,7,0,0,"5'8""",135,"75""",Southpaw,1/21/1988,4.42,41%,4.25,52%,0.29,66%,70%,0.1,13,4,0,0,"5'8""",135,"70""",Southpaw,4/20/1994,4.27,46%,3.81,58%,0.48,37%,63%,0.0
537,Austin Lingo,Youssef Zalal,Youssef Zalal,8,1,0,0,"5'10""",145,"70""",Orthodox,7/10/1994,3.57,44%,3.17,62%,1.0,66%,76%,0.0,10,4,0,0,"5'10""",145,"72""",Switch,9/04/1996,2.45,51%,1.56,64%,2.4,40%,56%,1.4
538,Curtis Blaydes,Junior Dos Santos,Curtis Blaydes,14,3,0,1,"6'4""",265,"80""",Orthodox,2/18/1991,3.59,53%,1.7,57%,6.64,54%,33%,0.0,21,9,0,0,"6'4""",238,"77""",Orthodox,1/30/1984,4.49,47%,3.33,56%,0.3,50%,81%,0.1
539,Rafael Dos Anjos,Michael Chiesa,Michael Chiesa,30,13,0,0,"5'8""",155,"70""",Southpaw,10/26/1984,3.49,46%,3.22,61%,1.93,37%,58%,0.6,18,4,0,0,"6'1""",170,"75""",Southpaw,12/07/1987,1.89,40%,1.71,54%,3.6,52%,68%,0.9
540,Jordan Espinosa,Alex Perez,Alex Perez,15,9,0,1,"5'6""",125,"69""",Orthodox,11/08/1989,4.22,52%,2.94,57%,0.75,28%,70%,0.2,24,6,0,0,"5'6""",125,"65""",Orthodox,3/21/1992,4.62,47%,3.08,61%,2.92,45%,87%,1.3
541,Hannah Cifers,Angela Hill,Angela Hill,10,7,0,0,"5'1""",115,"62""",Orthodox,6/26/1992,4.99,44%,5.39,52%,0.26,100%,64%,0.3,13,9,0,0,"5'3""",115,"64""",Orthodox,1/12/1985,5.66,50%,4.98,64%,0.45,36%,76%,0.1
542,Jamahal Hill,Darko Stosic,Jamahal Hill,7,0,0,2,"6'4""",205,"79""",Southpaw,5/19/1991,7.9,52%,3.15,49%,0.0,0%,53%,0.0,13,4,0,0,"6'0""",205,"76""",Orthodox,2/09/1992,2.61,45%,4.04,58%,3.42,50%,83%,0.0
543,Bevon Lewis,Dequan Townsend,Bevon Lewis,7,3,0,0,"6'3""",185,"79""",Orthodox,5/05/1991,3.73,43%,2.67,54%,0.0,0%,66%,0.0,21,12,0,0,"6'3""",205,"79""",Orthodox,5/11/1986,1.23,34%,3.92,38%,0.0,0%,46%,0.0
544,Arnold Allen,Nik Lentz,Arnold Allen,16,1,0,0,"5'8""",145,"70""",Southpaw,1/22/1994,3.19,41%,2.0,67%,1.36,52%,76%,0.5,30,12,2,1,"5'8""",145,"68""",Orthodox,8/13/1984,3.44,47%,3.25,50%,3.3,32%,43%,1.2
545,Justine Kish,Lucie Pudilova,Justine Kish,7,3,0,0,"5'5""",125,"64""",Orthodox,4/13/1988,4.65,48%,4.62,59%,1.01,35%,55%,0.2,8,6,0,0,"5'8""",125,"67""",Orthodox,6/13/1994,4.15,36%,4.09,52%,0.16,12%,61%,0.6
546,Montel Jackson,Felipe Colares,Montel Jackson,9,2,0,0,"5'10""",135,"75""",Southpaw,4/24/1992,3.67,55%,1.35,57%,4.26,77%,66%,0.2,9,2,0,0,"5'8""",135,"69""",Orthodox,3/31/1994,1.13,42%,3.0,32%,2.0,25%,34%,1.0
547,Sara McMann,Lina Lansberg,Sara McMann,12,6,0,0,"5'6""",135,"66""",Orthodox,9/24/1980,2.32,45%,1.94,48%,4.41,65%,50%,0.5,10,5,0,0,"5'7""",135,"65""",Orthodox,3/13/1982,2.76,57%,3.7,44%,0.71,33%,50%,0.1
548,Brett Johns,Tony Gravely,Brett Johns,17,2,0,0,"5'7""",135,"71""",Orthodox,2/21/1992,2.86,49%,3.84,53%,4.92,49%,58%,1.0,20,6,0,0,"5'5""",135,"69""",Orthodox,9/28/1991,3.69,55%,3.16,42%,5.6,51%,50%,0.8
549,Herbert Burns,Nate Landwehr,Herbert Burns,11,3,0,0,"5'9""",145,"73""",Orthodox,2/02/1988,1.67,45%,5.02,33%,4.64,83%,75%,2.8,14,4,0,0,"5'9""",145,"72""",Orthodox,6/06/1988,7.02,50%,7.67,51%,0.0,0%,85%,0.0
550,Conor McGregor,Donald Cerrone,Conor McGregor,22,5,0,0,"5'9""",155,"74""",Southpaw,7/14/1988,5.32,49%,4.54,54%,0.7,55%,67%,0.0,36,15,0,2,"6'1""",155,"73""",Orthodox,3/29/1983,4.43,46%,4.46,53%,1.19,33%,73%,1.2
551,Holly Holm,Raquel Pennington,Holly Holm,14,5,0,0,"5'8""",135,"69""",Southpaw,10/17/1981,3.16,38%,2.8,57%,0.81,30%,76%,0.1,11,9,0,0,"5'7""",135,"67""",Orthodox,9/05/1988,3.62,48%,3.2,63%,1.12,28%,65%,0.7
552,Aleksei Oleinik,Maurice Greene,Aleksei Oleinik,59,15,1,0,"6'2""",240,"80""",Orthodox,6/20/1977,3.47,50%,3.85,44%,2.38,46%,33%,2.4,9,6,0,0,"6'7""",258,"80""",Orthodox,7/05/1986,4.12,44%,4.37,45%,0.0,0%,28%,0.6
553,Brian Kelleher,Ode Osbourne,Brian Kelleher,22,12,0,0,"5'6""",145,"66""",Switch,8/19/1986,3.92,39%,5.47,53%,1.0,25%,59%,0.7,9,3,0,1,"5'7""",145,"73""",Southpaw,1/09/1992,4.3,54%,3.04,42%,1.9,100%,66%,1.9
554,Anthony Pettis,Diego Ferreira,Diego Ferreira,24,10,0,0,"5'10""",155,"72""",Orthodox,1/27/1987,3.05,47%,3.44,54%,0.61,50%,60%,1.1,17,3,0,0,"5'9""",155,"74""",Orthodox,1/18/1985,4.85,37%,3.26,58%,0.89,26%,68%,0.9
555,Roxanne Modafferi,Maycee Barber,Roxanne Modafferi,25,19,0,0,"5'7""",125,"69""",Orthodox,9/24/1982,3.13,30%,5.03,53%,1.42,23%,30%,0.1,8,2,0,0,"5'5""",125,"65""",Switch,5/18/1998,5.21,52%,3.0,50%,1.44,40%,80%,0.2
556,Andre Fili,Sodiq Yusuff,Sodiq Yusuff,21,8,0,0,"5'11""",145,"74""",Orthodox,6/25/1990,3.73,36%,3.9,52%,2.5,49%,64%,0.2,11,1,0,0,"5'9""",145,"71""",Orthodox,5/19/1993,6.1,49%,4.06,58%,0.0,0%,72%,0.3
557,Tim Elliott,Askar Askarov,Askar Askarov,18,11,1,0,"5'7""",125,"66""",Southpaw,12/24/1986,3.35,45%,2.49,59%,4.01,49%,58%,1.1,13,0,1,0,"5'6""",125,"67""",Orthodox,10/09/1992,3.37,55%,2.65,56%,2.75,28%,64%,0.0
558,Drew Dober,Nasrat Haqparast,Drew Dober,23,10,0,1,"5'8""",155,"70""",Southpaw,10/19/1988,4.33,40%,3.87,54%,0.8,17%,55%,0.1,13,3,0,0,"5'10""",155,"72""",Southpaw,8/22/1995,5.81,47%,3.23,74%,0.18,16%,84%,0.0
559,Aleksa Camur,Justin Ledet,Aleksa Camur,6,1,0,0,"6'1""",205,"74""",Orthodox,9/25/1995,3.94,54%,2.49,57%,0.84,33%,20%,0.0,9,4,0,1,"6'4""",205,"80""",Orthodox,9/28/1988,3.35,39%,4.82,49%,0.23,50%,42%,0.2
560,Sabina Mazo,JJ Aldrich,Sabina Mazo,9,2,0,0,"5'7""",135,"70""",Orthodox,3/25/1997,6.56,44%,3.91,60%,0.81,80%,66%,0.2,9,4,0,0,"5'5""",125,"67""",Southpaw,9/29/1992,3.76,41%,4.55,61%,0.8,40%,57%,0.0
561,Frankie Edgar,Chan Sung Jung,Chan Sung Jung,23,9,1,0,"5'6""",135,"68""",Orthodox,10/16/1981,3.7,39%,2.71,66%,2.28,31%,65%,0.3,16,6,0,0,"5'7""",145,"72""",Orthodox,3/17/1987,4.15,41%,4.01,56%,0.62,41%,75%,0.5
562,Volkan Oezdemir,Aleksandar Rakic,Volkan Oezdemir,17,5,0,0,"6'2""",205,"75""",Orthodox,9/19/1989,5.03,45%,4.24,55%,0.36,20%,80%,0.0,14,2,0,0,"6'4""",205,"78""",Orthodox,2/06/1992,4.23,52%,2.23,52%,0.75,25%,90%,0.2
563,Dooho Choi,Charles Jourdain,Charles Jourdain,14,4,0,0,"5'10""",145,"70""",Orthodox,4/10/1991,5.32,51%,6.38,53%,0.41,20%,50%,0.0,11,3,1,0,"5'9""",145,"69""",Switch,11/27/1995,4.79,45%,4.11,61%,0.0,0%,47%,0.7
564,Da-Un Jung,Mike Rodriguez,Da-Un Jung,13,2,1,0,"6'4""",205,"78""",Orthodox,12/07/1993,5.06,43%,5.38,55%,0.0,0%,83%,0.5,11,6,0,1,"6'4""",205,"82""",Southpaw,11/28/1988,4.61,59%,3.39,40%,0.0,0%,41%,0.0
565,Junyong Park,Marc-Andre Barriault,Junyong Park,12,4,0,0,"5'10""",185,"73""",Orthodox,2/27/1991,4.24,47%,2.9,59%,3.4,64%,45%,0.0,11,4,0,1,"6'1""",185,"74""",Orthodox,2/18/1990,4.25,46%,4.12,57%,0.55,28%,69%,0.0
566,Kyung Ho Kang,Pingyuan Liu,Kyung Ho Kang,17,8,0,1,"5'9""",135,"73""",Orthodox,9/09/1987,2.52,44%,2.43,58%,2.53,59%,71%,1.1,13,7,0,0,"5'6""",135,"72""",Orthodox,2/13/1993,2.36,33%,2.99,54%,0.25,20%,56%,1.0
567,Ciryl Gane,Tanner Boser,Ciryl Gane,8,0,0,0,"6'4""",245,"81""",Orthodox,4/12/1990,5.04,55%,1.85,69%,1.13,26%,100%,0.5,19,7,1,0,"6'2""",255,"75""",Orthodox,8/02/1991,4.54,55%,2.7,63%,0.0,0%,100%,0.0
568,SeungWoo Choi,Suman Mokhtarian,SeungWoo Choi,9,3,0,0,"6'0""",145,"74""",Orthodox,11/03/1992,3.17,41%,2.45,46%,1.03,57%,66%,0.0,8,5,0,0,"5'8""",145,"72""",Orthodox,6/13/1992,2.21,43%,6.85,48%,0.0,0%,0%,0.0
569,Dong Hyun Ma,Omar Morales,Omar Morales,16,11,3,0,"5'11""",155,"70""",Orthodox,9/09/1988,2.84,41%,4.1,54%,1.27,53%,33%,0.0,10,1,0,0,"5'11""",145,"73""",Orthodox,10/17/1985,3.39,34%,2.99,65%,0.29,100%,100%,0.0
570,Alexandre Pantoja,Matt Schnell,Alexandre Pantoja,23,5,0,0,"5'5""",125,"67""",Orthodox,4/16/1990,4.3,47%,3.39,53%,0.94,35%,68%,0.9,15,5,0,0,"5'8""",125,"70""",Orthodox,1/15/1990,4.2,36%,4.02,62%,0.48,33%,53%,1.2
571,Raoni Barcelos,Said Nurmagomedov,Raoni Barcelos,16,1,0,0,"5'7""",135,"67""",Orthodox,5/01/1987,5.59,52%,4.17,67%,2.23,56%,85%,0.7,14,2,0,0,"5'8""",135,"70""",Orthodox,4/05/1992,4.65,46%,2.37,60%,0.45,7%,71%,0.0
572,Miranda Granger,Amanda Lemos,Amanda Lemos,7,2,0,0,"5'7""",125,"68""",Orthodox,4/13/1992,2.91,48%,2.64,59%,0.0,0%,40%,0.0,9,1,1,0,"5'4""",115,"65""",Southpaw,5/22/1987,6.21,64%,5.39,45%,1.98,100%,100%,0.5
573,Heili Alateng,Ryan Benoit,Heili Alateng,14,8,1,0,"5'5""",135,"66""",Orthodox,12/14/1991,2.87,32%,5.82,57%,2.33,35%,100%,0.0,10,7,0,0,"5'5""",125,"68""",Orthodox,8/25/1989,2.95,41%,3.4,60%,0.33,25%,70%,0.5
574,Kamaru Usman,Colby Covington,Kamaru Usman,18,1,0,0,"6'0""",170,"76""",Switch,5/11/1987,4.66,54%,2.33,58%,3.22,47%,100%,0.1,16,2,0,0,"5'11""",170,"72""",Orthodox,2/22/1988,4.12,38%,2.86,55%,4.61,50%,75%,0.1
575,Max Holloway,Alexander Volkanovski,Alexander Volkanovski,22,6,0,0,"5'11""",145,"69""",Orthodox,12/04/1991,7.26,46%,4.58,60%,0.21,71%,84%,0.3,22,1,0,0,"5'6""",145,"71""",Orthodox,9/29/1988,6.02,55%,3.31,60%,2.09,34%,72%,0.3
576,Amanda Nunes,Germaine de Randamie,Amanda Nunes,21,4,0,0,"5'8""",145,"69""",Orthodox,5/30/1988,4.5,51%,2.45,57%,2.5,53%,84%,0.9,10,4,0,0,"5'9""",135,"71""",Orthodox,4/24/1984,2.72,46%,2.14,65%,0.0,0%,69%,0.4
