,fight_id,fight_date,event_name,location
143,856fab879c68ded7,12/05/2020,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA"
144,771d8ce136a12a13,12/05/2020,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA"
145,b1be8b41b1a4fd85,12/05/2020,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA"
146,c4d1c4b82cf34afb,12/05/2020,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA"
147,09a29fb09fe07559,11/28/2020,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA"
148,28b6ee9c3eb8b753,11/28/2020,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA"
149,32a7da2f34ae3803,11/28/2020,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA"
150,181c3312f14de5a8,11/28/2020,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA"
151,2a7909acde26a240,11/28/2020,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA"
152,4d56bcd82438e632,11/28/2020,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA"
153,0c27552ea7bc8c8a,11/28/2020,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA"
154,711f00d287344c77,11/28/2020,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA"
155,8868957c1735bcf0,11/28/2020,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA"
156,e64d80dcc6853ea0,11/28/2020,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA"
157,3c098e2946b4c824,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
158,c93eebe24aa0299d,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
159,2b13651b97f57b6c,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
160,08ef2ed7393efd24,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
161,1671723154d8e324,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
162,8d5ea3bf3be7cb91,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
163,6c1b38dd918793ff,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
164,a485281be8e9d2e2,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
165,e22d5aab3d099c7c,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
