,fight_id,fighter_r,fighter_b,winner,title_fight,weight_class,win_by,last_round,stoppage_time,fight_format,referee,r_kd,r_sig_str_pct,r_td_pct,r_sub_att,r_rev,r_ctrl,b_kd,b_sig_str_pct,b_td_pct,b_sub_att,b_rev,b_ctrl,fight_date,event_name,location,winner_corner,total_time,maximum_scheduled_time,r_att_td,r_lan_td,b_att_td,b_lan_td,r_att_sig_str,r_lan_sig_str,b_att_sig_str,b_lan_sig_str,r_att_total_str,r_lan_total_str,b_att_total_str,b_lan_total_str,r_att_head,r_lan_head,b_att_head,b_lan_head,r_att_body,r_lan_body,b_att_body,b_lan_body,r_att_leg,r_lan_leg,b_att_leg,b_lan_leg,r_att_distance,r_lan_distance,b_att_distance,b_lan_distance,r_att_clinch,r_lan_clinch,b_att_clinch,b_lan_clinch,r_att_ground,r_lan_ground,b_att_ground,b_lan_ground
370,33d2a1dbb8a7fef5,Abdul Razak Alhassan,Mounir Lazzez,Mounir Lazzez,False,Welterweight, Decision - Unanimous ,3,300,3 Rnd (5-5-5),Daniel Movahedi,0,0.5,0.25,0,0,91,0,0.55,1.0,0,0,292,7/15/2020,UFC Fight Night: Kattar vs. Ige,"Abu Dhabi, Abu Dhabi, United Arab Emirates",b,900,900,1,4,4,4,67,133,98,177,70,136,114,194,49,108,51,118,6,6,25,36,12,19,22,23,61,119,78,151,6,14,14,20,0,0,6,6
371,7fd810af30144119,John Phillips,Khamzat Chimaev,Khamzat Chimaev,False,Middleweight, Submission ,2,72,3 Rnd (5-5-5),Herb Dean,0,0.5,0,0,0,0,0,0.82,1.0,1,0,354,7/15/2020,UFC Fight Night: Kattar vs. Ige,"Abu Dhabi, Abu Dhabi, United Arab Emirates",b,372,900,0,0,2,2,1,2,43,52,2,3,124,140,1,2,40,49,0,0,1,1,0,0,2,2,1,2,1,1,0,0,0,0,0,0,42,51
372,f3efc6121c5323ff,Ricardo Ramos,Lerone Murphy,Lerone Murphy,False,Featherweight, KO/TKO ,1,258,3 Rnd (5-5-5),Rich Mitchell,0,0.34,0.0,0,0,57,0,0.55,0.5,0,0,82,7/15/2020,UFC Fight Night: Kattar vs. Ige,"Abu Dhabi, Abu Dhabi, United Arab Emirates",b,258,900,0,2,1,2,10,29,22,40,10,29,24,42,3,17,14,32,1,3,5,5,6,9,3,3,7,25,3,12,1,2,2,3,2,2,17,25
373,0e969ae805006d1f,Modestas Bukauskas,Andreas Michailidis,Modestas Bukauskas,False,Light Heavyweight, KO/TKO ,1,300,3 Rnd (5-5-5),Daniel Movahedi,0,0.36,0,0,0,0,0,0.5,0.0,0,0,9,7/15/2020,UFC Fight Night: Kattar vs. Ige,"Abu Dhabi, Abu Dhabi, United Arab Emirates",r,300,900,0,0,0,1,18,49,23,46,18,49,23,46,11,40,8,26,4,6,7,11,3,3,8,9,11,42,23,45,7,7,0,1,0,0,0,0
374,819f51ef9d945a46,Jared Gordon,Chris Fishgold,Jared Gordon,False,Featherweight, Decision - Unanimous ,3,300,3 Rnd (5-5-5),Marc Goddard,0,0.63,0.5,0,0,622,0,0.34,0.0,1,1,43,7/15/2020,UFC Fight Night: Kattar vs. Ige,"Abu Dhabi, Abu Dhabi, United Arab Emirates",r,900,900,3,6,0,1,44,69,20,58,241,282,27,65,35,58,13,49,6,8,5,7,3,3,2,2,19,35,16,52,2,3,4,6,23,31,0,0
375,dccea04cc3567955,Diana Belbita,Liana Jojua,Liana Jojua,False,Women's Flyweight, Submission ,1,163,3 Rnd (5-5-5),Rich Mitchell,0,0.55,0.5,0,0,94,0,0.66,0,3,0,52,7/15/2020,UFC Fight Night: Kattar vs. Ige,"Abu Dhabi, Abu Dhabi, United Arab Emirates",b,163,900,1,2,0,0,5,9,2,3,6,11,3,4,3,6,1,2,2,3,1,1,0,0,0,0,3,5,1,2,2,4,1,1,0,0,0,0
376,f3c42ce9fad55eb7,Jack Shore,Aaron Phillips,Jack Shore,False,Bantamweight, Submission ,2,149,3 Rnd (5-5-5),Herb Dean,0,0.64,0.37,1,0,325,0,0.4,0,0,0,5,7/15/2020,UFC Fight Night: Kattar vs. Ige,"Abu Dhabi, Abu Dhabi, United Arab Emirates",r,449,900,3,8,0,0,29,45,6,15,42,59,7,16,19,32,1,9,5,6,5,6,5,7,0,0,7,14,5,14,6,6,1,1,16,25,0,0
377,d292243c6499b2fe,Kamaru Usman,Jorge Masvidal,Kamaru Usman,True,UFC Welterweight Title, Decision - Unanimous ,5,300,5 Rnd (5-5-5-5-5),Marc Goddard,0,0.62,0.31,0,0,998,0,0.52,0,0,0,0,7/11/2020,UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",r,1500,1500,5,16,0,0,94,151,66,125,263,341,88,157,43,96,23,69,49,53,29,39,2,2,14,17,42,86,38,90,39,49,27,34,13,16,1,1
378,94b1596c6ff9a25d,Alexander Volkanovski,Max Holloway,Alexander Volkanovski,True,UFC Featherweight Title, Decision - Split ,5,300,5 Rnd (5-5-5-5-5),Herb Dean,0,0.5,0.33,0,0,86,0,0.38,0,0,0,0,7/11/2020,UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",r,1500,1500,3,9,0,0,137,272,102,268,139,275,111,277,64,161,44,167,6,10,27,46,67,101,31,55,136,265,95,258,1,6,7,10,0,1,0,0
379,0f9be7ac405772f8,Petr Yan,Jose Aldo,Petr Yan,True,UFC Bantamweight Title, KO/TKO ,5,204,5 Rnd (5-5-5-5-5),Leon Roberts,1,0.62,0.5,0,0,290,0,0.52,0.0,0,0,0,7/11/2020,UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",r,1404,1500,1,2,0,1,194,309,83,157,258,376,83,157,150,256,38,97,35,44,28,39,9,9,17,21,99,201,81,154,9,11,2,3,86,97,0,0
