,Unnamed: 0,fighter_name,id
5655,5656,Ben Nguyen,840d2c82ea68b9aa
4931,4932,Ben Rothwell,bd58d34e39b7b12a
3715,3716,Ben Saunders,484acc7b0f856ce9
1010,1011,Ben Sosoli,326f94d6cfb1bf25
6647,6648,Ben Wall,1ad381c8994c4e5b
127,128,Beneil Dariush,08af939f41b5a57b
3157,3158,Benito Lopez,773f7feacf96153e
11357,11358,Benji Radach,01b39decaf0abf6a
8835,8836,Benson Henderson,2676b28836a5a836
5768,5769,Bentley Syler,abd2109bc4cb0291
8327,8328,Bernardo Magalhaes,7a613f78dd7ee8f8
7567,7568,Besam Yousef,98ec9f385cca47fc
3641,3642,Bethe Correia,673ea7dcc786b1b3
345,346,Bevon Lewis,899923ff6ab13917
3235,3236,Bharat Kandare,efd2b3e9bb7965a4
3835,3836,Bibulatov Magomed,87f19d19f4cb73f8
279,280,Bill Algeo,9abc648e76c4493a
11105,11106,Bill Mahood,ae58685caf8e4a0d
10375,10376,Billy Miles,3c48019bc387b80c
1190,1191,Billy Quarantillo,aa171d55d4b5208f
850,851,Blagoy Ivanov,1788eee370f077b7
11590,11591,Bob Cook,1c061eb6e29eaa0a
11713,11714,Bob Gilstrap,c96518b7f6881004
649,650,Bobby Green,887961364be5ceb3
11441,11442,Bobby Hoffman,afaad7d6a581e307
2345,2346,Bobby Moffett,d76ad9a08c4408ff
3559,3560,Bobby Nash,7dfb56f24fe5ddea
11137,11138,Bobby Southworth,aee8eecfc4bfb1e7
6975,6976,Bobby Voelker,fb8a3025ae722e64
3468,3469,Bojan Mihajlovic,d6285cba1d1052e0
3457,3458,Bojan Velickovic,fcce75a25c14a804
1898,1899,Boston Salmon,98e946879ba20c0f
9962,9963,Brad Blackburn,7e69a4b0961aa555
11554,11555,Brad Gumm,4d74641fac830182
11025,11026,Brad Imes,4908c5ee68a50ee5
2661,2662,Brad Katona,7b433309b0fd12aa
11749,11750,Brad Kohler,13c4313ed0f744f3
10247,10248,Brad Morris,6803d4d6908354ac
6790,6791,Brad Pickett,c945adc22c2bfe8f
1012,1013,Brad Riddell,37ed1ab2f8b819f4
7777,7778,Brad Scott,34e552520a934063
154,155,Brad Tavares,0c6d9ea8306c029e
10877,10878,Branden Lee Hinkle,06f0ffa6446c5b6d
1515,1516,Brandon Davis,cc351e408bbb7d43
10521,10522,Brandon Melendez,2b06b6ad5db63348
237,238,Brandon Moreno,792be9a24df82ed6
475,476,Brandon Royval,6e15f63b6c2e2c15
5461,5462,Brandon Thatch,638cfec7ec559d6e
10193,10194,Brandon Vera,fa315e6c77eee106
10001,10002,Brandon Wolff,aa79d5399571068e
766,767,Brendan Allen,2f181c0467965b98
7790,7791,Brendan Loughnane,b788862dd1c11eac
4816,4817,Brendan O'Reilly,494b0bfdbac74502
9539,9540,Brendan Schaub,89a407032911e27e
3209,3210,Brett Johns,ec52462a1b41f714
8730,8731,Brian Bowles,b26d3e3746fb4024
3583,3584,Brian Camozzi,1999ffb5cebc314f
9877,9878,Brian Cobb,3138fab619faf4d1
8926,8927,Brian Ebersole,32ba186f4b0e3267
9572,9573,Brian Foster,3dc3022232b79c7a
11073,11074,Brian Gassaway,e4770d5ed44a3970
