,fight_id,fighter_r,fighter_b,winner,title_fight,weight_class,win_by,last_round,stoppage_time,fight_format,referee,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
855,f81f8cfe30e0a1e9,Deron Winn,Eric Spicely,Deron Winn,False,Middleweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0,169 of 367,46%,171 of 369,0 of 3,0%,0,0,1:18,125 of 316,39 of 46,5 of 5,137 of 322,32 of 45,0 of 0,0,108 of 224,48%,108 of 224,0 of 0,---,0,0,0:03,90 of 206,17 of 17,1 of 1,74 of 186,34 of 38,0 of 0
856,cf4199c8517bc1fd,Henry Cejudo,Marlon Moraes,Henry Cejudo,True,UFC Bantamweight Title, KO/TKO ,3,4:51,5 Rnd (5-5-5-5-5),Marc Goddard,0,90 of 171,52%,99 of 182,1 of 4,25%,1,0,2:40,73 of 150,13 of 16,4 of 5,45 of 118,19 of 23,26 of 30,0,57 of 119,47%,59 of 121,0 of 2,0%,0,0,0:00,35 of 89,7 of 8,15 of 22,54 of 116,2 of 2,1 of 1
857,4127b45c3d546eef,Valentina Shevchenko,Jessica Eye,Valentina Shevchenko,True,UFC Women's Flyweight Title, KO/TKO ,2,0:26,5 Rnd (5-5-5-5-5),Robert Madrigal,1,8 of 11,72%,37 of 40,2 of 2,100%,1,0,4:16,4 of 5,4 of 6,0 of 0,5 of 8,2 of 2,1 of 1,0,2 of 12,16%,42 of 52,0 of 0,---,0,0,0:02,0 of 7,0 of 2,2 of 3,2 of 12,0 of 0,0 of 0
858,323dc938d93a849b,Tony Ferguson,Donald Cerrone,Tony Ferguson,False,Lightweight, TKO - Doctor's Stoppage ,2,5:00,3 Rnd (5-5-5),Dan Miragliotta,0,104 of 200,52%,104 of 200,0 of 0,---,0,0,0:00,65 of 144,25 of 37,14 of 19,103 of 198,1 of 2,0 of 0,0,68 of 185,36%,68 of 185,1 of 1,100%,0,0,0:07,43 of 152,15 of 23,10 of 10,68 of 184,0 of 1,0 of 0
859,fe0c844a671dd6d8,Jimmie Rivera,Petr Yan,Petr Yan,False,Bantamweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,0,73 of 192,38%,76 of 195,0 of 3,0%,0,0,0:39,42 of 145,15 of 24,16 of 23,60 of 173,9 of 15,4 of 4,2,56 of 189,29%,58 of 192,1 of 3,33%,0,0,0:39,40 of 166,13 of 19,3 of 4,42 of 167,10 of 12,4 of 10
860,cd2ceb5530529c9f,Tai Tuivasa,Blagoy Ivanov,Blagoy Ivanov,False,Heavyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0,64 of 144,44%,66 of 146,0 of 0,---,0,0,2:39,39 of 114,6 of 7,19 of 23,50 of 126,14 of 18,0 of 0,1,73 of 123,59%,81 of 131,2 of 2,100%,0,0,2:38,65 of 114,7 of 8,1 of 1,62 of 111,5 of 6,6 of 6
861,56403d0fd259c5d9,Tatiana Suarez,Nina Ansaroff,Tatiana Suarez,False,Women's Strawweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Robert Madrigal,0,75 of 142,52%,95 of 166,4 of 13,30%,0,0,8:17,29 of 85,22 of 29,24 of 28,42 of 100,7 of 7,26 of 35,0,48 of 99,48%,54 of 105,0 of 0,---,0,0,0:00,31 of 66,15 of 26,2 of 7,39 of 89,4 of 5,5 of 5
862,17753b728e5404aa,Aljamain Sterling,Pedro Munhoz,Aljamain Sterling,False,Bantamweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,0,174 of 349,49%,175 of 350,0 of 7,0%,0,0,0:00,123 of 250,36 of 73,15 of 26,172 of 338,2 of 11,0 of 0,0,105 of 265,39%,108 of 269,0 of 0,---,0,0,0:05,44 of 159,29 of 64,32 of 42,102 of 257,3 of 8,0 of 0
863,a4446299c1f85d74,Karolina Kowalkiewicz,Alexa Grasso,Alexa Grasso,False,Women's Strawweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,0,90 of 232,38%,92 of 234,0 of 0,---,0,0,0:34,55 of 186,27 of 33,8 of 13,79 of 217,11 of 15,0 of 0,0,148 of 369,40%,163 of 384,0 of 0,---,1,0,0:07,92 of 289,33 of 46,23 of 34,123 of 339,25 of 30,0 of 0
864,bf2a9732af50c84c,Ricardo Lamas,Calvin Kattar,Calvin Kattar,False,Featherweight, KO/TKO ,1,4:06,3 Rnd (5-5-5),Dan Miragliotta,0,12 of 29,41%,12 of 29,0 of 1,0%,0,0,0:00,2 of 12,4 of 5,6 of 12,12 of 29,0 of 0,0 of 0,1,22 of 41,53%,22 of 41,0 of 0,---,0,0,0:02,11 of 28,11 of 13,0 of 0,16 of 34,2 of 2,4 of 5
865,97c76d44699f7c93,Yan Xiaonan,Angela Hill,Yan Xiaonan,False,Women's Strawweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Robert Madrigal,0,94 of 249,37%,105 of 264,1 of 1,100%,0,0,1:51,64 of 199,11 of 22,19 of 28,83 of 229,8 of 17,3 of 3,0,71 of 144,49%,78 of 151,1 of 3,33%,1,0,0:55,44 of 110,21 of 26,6 of 8,56 of 127,13 of 15,2 of 2
866,a255ed658a2ac9bb,Bevon Lewis,Darren Stewart,Darren Stewart,False,Middleweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,0,31 of 84,36%,45 of 98,0 of 5,0%,0,0,3:42,13 of 49,12 of 23,6 of 12,15 of 62,16 of 22,0 of 0,0,30 of 73,41%,40 of 84,0 of 0,---,0,0,1:41,11 of 52,5 of 6,14 of 15,18 of 55,12 of 18,0 of 0
867,aa430402314b4459,Eddie Wineland,Grigory Popov,Eddie Wineland,False,Bantamweight, KO/TKO ,2,4:47,3 Rnd (5-5-5),Kevin MacDonald,2,74 of 171,43%,74 of 171,0 of 2,0%,0,0,0:16,48 of 129,23 of 39,3 of 3,70 of 165,0 of 1,4 of 5,0,55 of 150,36%,55 of 150,0 of 1,0%,0,0,0:00,24 of 97,20 of 39,11 of 14,52 of 146,3 of 4,0 of 0
868,82eb6fa58ae52428,Katlyn Chookagian,Joanne Calderwood,Katlyn Chookagian,False,Women's Flyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0,82 of 221,37%,108 of 250,0 of 2,0%,0,0,0:00,50 of 179,20 of 27,12 of 15,78 of 215,3 of 5,1 of 1,0,112 of 266,42%,141 of 300,3 of 4,75%,0,0,2:09,24 of 139,19 of 40,69 of 87,104 of 252,7 of 12,1 of 2
