,fighter_name,id
314,Dustin Stoltzfus,71505842fb6455c3
315,Louis Cosce,afe8d5b39ff7fca2
316,Sasha Palatnikov,a6c20202c701e5ca
317,Paul Felder,e5010b1b94ca5755
318,Rafael Dos Anjos,6a2f7c151031653d
319,Abdul Razak Alhassan,eae431e70064e046
320,Khaos Williams,2558ae2e5671e318
321,Ashley Yoder,b4c6c904a9ffc5e8
322,Miranda Granger,7559395ad833c074
323,Brendan Allen,2f181c0467965b98
324,Sean Strickland,0d8011111be000b2
325,Kay Hansen,4100c7a09497ad41
326,Cory McKenna,3351aa64aa83c4d9
327,Randa Markos,4a57ebb14315b251
328,Kanako Murata,e0b0cf71e0d69dd0
329,Geraldo de Freitas,9cfbfae5fa1fdd93
330,Tony Gravely,601964f9654f911a
331,Alex Morono,cdb96af67d096b1e
332,Rhys McKee,f748267c4ab6c127
333,Don'Tale Mayes,1a9480fc288e55d7
334,Roque Martinez,2c5a0b8317f8f27a
335,Thiago Santos,dea070ed4a2a8281
336,Glover Teixeira,7ff97850e8c32bda
337,Andrei Arlovski,3738e68d2261e60f
338,Tanner Boser,04c8b08b16a5b99e
339,Raoni Barcelos,b9f28e7045fdfce7
340,Khalid Taha,b4537562f88ac582
341,Giga Chikadze,9560ff14eb3129f7
342,Jamey Simmons,f0fad0e9f3b65752
343,Claudia Gadelha,ec34349e7dffcde7
344,Yan Xiaonan,c41d426cc7326d1b
345,Trevin Giles,b27a1fcb56a3035a
346,Bevon Lewis,899923ff6ab13917
347,Alexandr Romanov,c0badf3243907e59
348,Marcos Rogerio de Lima,ab943cd2c3c17825
349,Darren Elkins,92a9aa9c93192871
350,Eduardo Garagorri,7bde387d50829adf
351,Max Griffin,b0d6a1d8ac3d563d
352,Ramiz Brahimaj,3d074044a33825e7
353,Gustavo Lopez,93b62c5f2ba18e51
354,Anthony Birchak,c5a126ace82a6025
355,Uriah Hall,65578a75fa7900e3
356,Anderson Silva,1f454354805b6f75
357,Bryce Mitchell,d9c6f19f958643e9
358,Andre Fili,8fd808923cffff82
359,Maurice Greene,068f8a189a47fea6
360,Greg Hardy,85073dbd1be65ed9
361,Kevin Holland,3a46b268013afede
362,Charlie Ontiveros,318572f6f74b760d
363,Bobby Green,887961364be5ceb3
364,Thiago Moises,d945aae53e3e54e6
365,Chris Gruetzemacher,feaf00f3373435d6
366,Alexander Hernandez,262a7d06203657e6
367,Adrian Yanez,0232cabbc30a2372
368,Victor Rodriguez,f6e5972c9d16c40e
369,Sean Strickland,0d8011111be000b2
370,Jack Marshman,045f25b3a4c08e81
371,Cole Williams,f9a20a17d712ef7c
372,Jason Witt,5f3805dda9661cba
373,Dustin Jacoby,e4277e87a789d687
374,Justin Ledet,ba1e6cb3d43f7430
375,Miles Johns,46e0d677f91bacc0
376,Kevin Natividad,0c258d1d8e16e5f1
377,Khabib Nurmagomedov,032cc3922d871c7f
378,Justin Gaethje,9e8f6c728eb01124
379,Robert Whittaker,e1147d3d2dabe1ce
380,Jared Cannonier,13a0275fa13c4d26
381,Alexander Volkov,279566840aa55bf2
382,Walt Harris,03f982ca3735070c
383,Jacob Malkoun,d4270315cbcf2569
384,Phil Hawes,547afe1017e72dbe
385,Lauren Murphy,729d4bd5a6cd0a97
386,Liliya Shakirova,f300763147320d12
387,Magomed Ankalaev,d802174b0c0c1f4e
388,Ion Cutelaba,cd13728ae1151f46
389,Stefan Struve,ebc1f40e00e0c481
390,Tai Tuivasa,c62fbc117d57b943
391,Nathaniel Wood,329e403448756217
392,Casey Kenney,e7bba7ce4d6c7b07
393,Alex Oliveira,57b10fca4f9c9a7a
394,Shavkat Rakhmonov,01afe0916a40c7c5
395,Da-Un Jung,74f9448b97bf8bec
396,Sam Alvey,d156513a19acf856
397,Liana Jojua,eebc23626e38f5dc
398,Miranda Maverick,f29a6350c69f4a33
399,Joel Alvarez,58bbef3770bb2dfc
400,Alexander Yakovlev,d06f8869449ba7bd
401,Brian Ortega,def8166ff24bd237
402,Chan Sung Jung,c451d67c09c55418
403,Katlyn Chookagian,e872e9a9a902c045
404,Jessica Andrade,6a1901c62ab3870f
405,Jimmy Crute,70e1f8a821b72c8b
406,Modestas Bukauskas,476fe566d2df676e
407,Claudio Silva,6f7c616b98e18c29
408,James Krause,8f6a18831a120817
409,Thomas Almeida,2b074403b7c6cdb4
410,Jonathan Martinez,f2477cf43c4975cc
411,Mateusz Gamrot,72db2a14ffa73ece
412,Guram Kutateladze,7772b283d288dbe2
413,Gillian Robertson,38c7f72747f4f712
414,Poliana Botelho,5c126c6aac3ef364
415,Junyong Park,285ae0b4a68221f4
416,John Phillips,e9ac7bfb65c25497
417,Jamie Mullarkey,af9f42e6894047fc
418,Fares Ziam,1e4f273069fb9e85
419,Gadzhimurad Antigulov,af997f7611673880
