,event_id,event_name
171,4b2390cfaceb91d8,UFC 207: Nunes vs. Rousey
172,32541eb5d12668b4,UFC on FOX: VanZant vs. Waterson
173,6e3282d57d2467a0,UFC 206: Holloway vs. Pettis
174,7139cd2ae4bf6a29,UFC Fight Night: Lewis vs. Abdurakhimov
175,bd4389b71fdc0ce2,The Ultimate Fighter: Tournament of Champions Finale
176,73e09f837f3b5ecc,UFC Fight Night: Whittaker vs. Brunson
177,5cde96e0a1a1fffe,UFC Fight Night: Bader vs. Nogueira
178,6810d8d2dd557cf9,UFC Fight Night: Mousasi vs. Hall 2
179,4956f60b7fa57c1a,UFC 205: Alvarez vs McGregor
180,6083f497c22cc075,UFC Fight Night: Dos Anjos vs. Ferguson
181,154a6b3ffae264cd,UFC 204: Bisping vs. Henderson
182,a196332ee4aa8a82,UFC Fight Night: Lineker vs. Dodson
183,e18012194473e8b0,UFC Fight Night: Cyborg vs. Lansberg
184,d6455cb4bee503ce,UFC Fight Night: Poirier vs. Johnson
185,2dc7f1762dc0a7ef,UFC 203: Miocic vs. Overeem
186,2b4faacc16d66898,UFC Fight Night: Arlovski vs. Barnett
187,cfbccfed4e4796fe,UFC on FOX: Maia vs. Condit
188,5da4e8dc02e50ac0,UFC 202: Diaz vs. McGregor 2
189,232c582f29f8f65e,UFC Fight Night: Rodriguez vs. Caceres
190,72cbe507644a587c,UFC 201: Lawler vs. Woodley
191,8a028648f3f0761d,UFC on FOX: Holm vs. Shevchenko
192,5e7a28f20927d64a,UFC Fight Night: McDonald vs. Lineker
193,aa5b4eff51bdc7d1,UFC 200: Tate vs Nunes
194,cd42bbe8887bba90,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale
195,45a2ba3ef82b9700,UFC Fight Night: Dos Anjos vs. Alvarez
196,563d051c9e769b24,UFC Fight Night: MacDonald vs Thompson
197,ff4c3ab594c7fac3,UFC 199: Rockhold vs. Bisping 2
198,990060b2a68a7b82,UFC Fight Night: Almeida vs Garbrandt
199,a4bf17bd3ba3423b,UFC 198: Werdum vs Miocic
200,a314687f372b2cec,UFC Fight Night: Overeem vs Arlovski
201,3d481aa374c954a1,UFC 197: Jones vs Saint Preux
202,e7e970d508529bf3,UFC on FOX: Teixeira vs Evans
203,4887e5bc4dbb73ff,UFC Fight Night: Rothwell vs Dos Santos
204,e60201cfab7d656d,UFC Fight Night: Hunt vs Mir
205,db1f2ed63b54b9a7,UFC 196: McGregor vs Diaz
206,39c568f8c579913e,UFC Fight Night: Silva vs Bisping
207,d56bb6dff2ae77eb,UFC Fight Night: Cowboy vs Cowboy
208,de99da2c0d18d34a,UFC Fight Night: Hendricks vs Thompson
209,b3fb8d2293e17a59,UFC on FOX: Johnson vs. Bader
210,c6becb722706c7d8,UFC Fight Night: Dillashaw vs Cruz
211,380e8b023290d091,UFC 195: Lawler vs Condit
212,80d918336163b80c,UFC on FOX: Dos Anjos vs. Cowboy 2
213,354808cf38d9d73c,UFC 194: Aldo vs McGregor
214,20fbff570c678e1c,The Ultimate Fighter: Team McGregor vs. Team Faber Finale
215,dd39f1ca787a3d9d,UFC Fight Night: Namajunas vs. VanZant
216,4d636c3aa1105950,UFC Fight Night: Henderson vs Masvidal
217,243b07fc65ccbb16,UFC Fight Night: Magny vs Gastelum
218,8d04923f2db59b7f,UFC 193: Rousey vs Holm
219,5345f86680378fc1,UFC Fight Night: Belfort vs Henderson 3
220,f3155a94ca420126,UFC Fight Night: Holohan vs Smolka
221,119ebea97e914dcf,UFC 192: Cormier vs Gustafsson
222,a4dd5c9a75763295,UFC Fight Night: Barnett vs Nelson
223,82f5c81f4e3c3eb5,UFC 191: Johnson vs Dodson 2
224,2ce6541127b0e232,UFC Fight Night: Holloway vs Oliveira
225,b71667c778b6d9e5,UFC Fight Night: Teixeira vs Saint Preux
226,a9c45a8b21eabadc,UFC 190: Rousey vs Correia
227,0c3838c8f7c620c2,UFC on FOX: Dillashaw vs. Barao II
228,ef7fa30364cbe7f2,UFC Fight Night: Bisping vs Leites
229,36877f0e62b25b96,UFC Fight Night: Mir vs Duffee
230,a890f9a791ed615d,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
231,3be081c29bf734d9,UFC 189: Mendes vs McGregor
232,86e388ed20761ad9,UFC Fight Night: Machida vs Romero
233,194fc025f9355db6,UFC Fight Night: Jedrzejczyk vs Penne
234,a58114c6dd0add64,UFC 188: Velasquez vs Werdum
