,fight_id
166,d80fd2ec736f7df2
167,f6472ca263a863d1
168,923e151bd990961b
169,f0cf92b063735164
170,6ac3d588f9630f0a
171,0fed97329b78b887
172,b76590c02f86e705
173,fea7dd5904ab4c91
174,2267d967d1daf08a
175,69fa167ba5d0fd82
176,55019da3a4bd5d54
177,cb720b01fd6f9785
178,039c645e8f3ac00f
179,83955de599b2d874
180,d763ad79532b27ff
181,997dcf5fd2eb0f2f
182,6915d46b49999f60
183,95beb5ec32718faf
184,4e566bd7094b49da
185,09f5fb0bec3c948a
186,696ff200d98fa878
187,783761d95060ffc4
188,7e6f12a95c14f9de
189,59eea37af7efb06c
190,51108eabae8391ca
191,ccfe7b0d29c5440c
192,a2620cbef573a837
193,e8ef17c0babcfca5
194,eedcb6c5d163e581
195,6eaa4981d0335c8a
196,de2069fea664c4b7
197,5b062be91c65fb73
198,55c257629ecea80f
199,47f9c14a7dca1ad7
200,2279d909f6e3e552
201,5a440bdee19efaab
202,e7a915f39ecf6db0
203,948da1b7ebbb06b3
204,4eb5f99202f5fe97
205,e4d0be5ae320c4ae
206,e5279358b128c2ac
207,9b6135943a4c8fe7
208,50e0bcba7551a25f
209,2735a2ea77ddc0b5
210,b3e12698e65cf8d0
211,024a04f78b37b7d9
212,727ecd251325b6a8
213,db5802643b9fd7d4
214,1720a97a2fa261f8
215,e64075c104471ff0
216,e4d831dc318e4e98
217,22fe6779c3fa649d
218,7c4eb0b4845eb0ed
219,1e525f9857019a2e
220,ee57cbd0b68c689d
221,dfb856d4c80bbf04
222,89dd4c256ca5d317
223,849cc2c331e9b24f
224,dbb5d682a2d7f584
225,0005e00b07cee542
226,ba6093c9136f99e9
227,81b16b26774be5d1
228,c00a8682fb5b71bd
229,1e7caef3f6dfde10
230,24ff0bb908095565
231,f4e262b04f4e94bd
232,15a422574c3b89e1
233,87105c63df95f929
234,ac6b2a5f24c2b8bd
235,d866afa89d62a4ae
236,fd76b75c28dc247a
237,4c12c9085200121f
238,9e674a02db6c03c8
239,e842c6f63fa2e27a
240,5a00c73efbcf323e
241,9f4d6d192ab4a027
242,73dbbdfcf7f989c0
243,eed8c9955cad1e30
244,5fb63c34935acce9
245,8e7b2d62f834b417
246,e10481ee3fda7080
247,ca531425f5c042db
248,c0568b225d5f0fe6
249,498766b46b8b4a7f
250,1a484c452623181e
251,859ca56770ac7672
252,78c3ca588e55bf31
253,36807d8a7ebc84a5
254,aa08ebe1a69c76ca
255,4f3cd94861c6a876
256,bf614956b28f231c
257,36656dfa32341671
258,42ecb9a94bebc24d
259,3a38b0b566f3045d
260,579f3280456ad450
261,0ffbf3096a13b47e
262,1ed8776f978a0155
263,764012f51c7dc223
264,3901d9cdbb0949bc
265,06910bddb0745856
266,c58aaabf2c5635d7
267,cf0e0f95524f187a
268,e1bb0b615c02d715
269,2461756d8acd56d2
270,bcc9dca5136fc765
271,463fc1fd1f17befb
272,ed8fb10b596e6fa4
273,24341a8cf1152c5c
274,0e809b7e37681783
275,0f279b25ccbecc76
276,e8206c7380441fbb
277,7595aabe89020780
278,7930c605c6a6ec88
279,7340b4cbdbac5863
280,1ff4586752ee8a93
281,864cddd6e165ea2d
282,0a9f22de8600c762
283,3a8e4b830750e9d4
284,eb9097be07a3c26a
285,0a7517a16d2d9db6
286,d43c007dab9c51b0
287,c5ba56d51f6b0171
288,16358c536d739017
