,id,fighter_name,total_wins,total_losses,total_draws,total_nc,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,td_acc,sub_avg
77,e87a13e02c01331d,Ali AlQaisi,8,5,0,0,"5'6""",135,"68""",Orthodox,"Sep,23,1990",2.43,42%,1.97,56%,3.50,29%,60%,29%,1.0
78,3dd92ff9fb0412b3,Ali Bagautinov,15,6,0,0,"5'4""",125,"65""",Orthodox,"Jun,10,1985",2.85,42%,3.09,52%,2.51,36%,65%,36%,0.3
79,b4ad3a06ee4d660c,Alistair Overeem,47,19,0,1,"6'4""",265,"80""",Orthodox,"May,17,1980",3.67,64%,2.44,57%,1.42,55%,73%,55%,0.8
80,cb696ebfb6598724,Aljamain Sterling,20,3,0,0,"5'7""",135,"71""",Orthodox,"Jul,31,1989",4.84,49%,2.20,63%,1.77,24%,41%,24%,0.9
81,e62b36885ecdac27,Allan Goes,10,5,2,0,"6'0""",205,--,Orthodox,"Apr,20,1971",0.64,52%,1.35,41%,1.75,40%,0%,40%,2.6
82,523af801b3429015,Allan Zuniga,13,1,0,0,"5'7""",155,"70""",Orthodox,"Apr,04,1992",3.93,52%,1.80,61%,0.00,0%,57%,0%,1.0
83,aebfb84d1f6d2d8c,Allen Berube,4,3,0,0,"5'8""",155,--,Orthodox,"Aug,25,1974",0.92,80%,0.92,33%,6.87,100%,0%,100%,3.4
84,a9d6e047ce48ab63,Allen Crowder,10,4,0,1,"6'3""",245,"76""",Orthodox,"Nov,08,1989",2.95,51%,2.95,56%,1.85,33%,100%,33%,1.2
85,a495f599e787614f,Alonzo Menifield,9,2,0,0,"6'0""",205,"76""",Orthodox,"Oct,18,1987",3.34,47%,3.72,45%,0.00,0%,85%,0%,0.0
86,e18a19001a3f7c7d,Alptekin Ozkilic,9,5,0,0,"5'5""",125,"65""",Orthodox,"Mar,27,1986",3.81,32%,5.72,59%,4.21,58%,75%,58%,0.0
87,74d35fbc9c6a61bd,Alvaro Herrera Mendoza,9,6,0,0,"6'0""",155,"74""",Orthodox,"May,14,1990",1.89,38%,3.40,55%,0.00,0%,33%,0%,1.1
88,cbe79765d44bd172,Alvin Robinson,15,9,0,0,"5'9""",155,"68""",Southpaw,"Jul,16,1982",1.57,50%,1.29,51%,1.24,50%,25%,50%,1.2
89,d4a31850a7457f1b,Amanda Cooper,3,5,0,0,"5'3""",115,"64""",Switch,"Oct,22,1991",3.55,44%,3.20,51%,1.53,38%,28%,38%,1.8
90,3df5493bb279226f,Amanda Lemos,9,1,1,0,"5'4""",115,"65""",Southpaw,"May,22,1987",6.21,64%,5.39,45%,1.98,100%,100%,100%,0.5
91,80fa8218c99f9c58,Amanda Nunes,21,4,0,0,"5'8""",145,"69""",Orthodox,"May,30,1988",4.50,51%,2.45,57%,2.50,53%,84%,53%,0.9
